"","area_id","SI"
"1","2120101",701.618296492347
"2","2120102",524.643338621132
"3","2120103",709.786297072497
"4","2120104",34.7203873722783
"5","2120106",46.3478506029962
"6","2120108",214.485861062757
"7","2120109",401.922323041012
"8","2120110",270.498169519574
"9","2120111",742.172609019911
"10","2120112",867.267546579518
"11","2120113",425.447043997759
"12","2120114",2635.46337500206
"13","2120115",35.6644359458421
"14","2120116",460.521570597295
"15","2120117",1093.13658735363
"16","2120118",1062.25056314528
"17","2120119",713.168996104391
"18","2120120",434.413932403908
"19","2120121",841.608441454038
"20","2120122",830.664609975043
"21","2120123",465.317969314519
"22","2120124",862.75717046315
"23","2120125",203.177273427031
"24","2120126",1498.52056228994
"25","2120201",1153.96690871472
"26","2120202",327.846855758858
"27","2120203",1052.90010989726
"28","2120204",941.003178844617
"29","2120205",1737.04289640793
"30","2120206",1839.54866713706
"31","2120207",1899.42005260884
"32","2120208",1758.47070512629
"33","2120209",1582.86246147823
"34","2120210",1365.47523947874
"35","2120211",819.75639005579
"36","2120212",974.808624032778
"37","2120213",1129.65952155381
"38","2120301",475.429920783017
"39","2120302",1824.01471093152
"40","2120303",1760.78865811769
"41","2120304",1779.25589675729
"42","2120305",1412.69948937142
"43","2120306",1197.81427114932
"44","2120307",713.051174868205
"45","2120308",1371.72238690039
"46","2120309",755.338897871598
"47","2120310",803.000605689688
"48","2120311",979.061603209718
"49","2120401",16.7347470535444
"50","2120402",8.48182393533274
"51","2120403",391.377851253814
"52","2120404",1389.61308005317
"53","2120405",1651.97693049717
"54","2120406",1064.16881412317
"55","2120407",2170.20758386453
"56","2120408",763.202583324075
"57","2120409",1722.17045910537
"58","2120410",1313.19915321976
"59","2120411",2.22237376586494
"60","2120412",2037.71362530648
"61","2120413",237.6528185989
"62","2120414",179.209502592788
"63","2120501",907.733211329945
"64","2120502",1410.88078858479
"65","2120503",92.8134980516569
"66","2120504",1338.55449602285
"67","2120505",1290.9773119669
"68","2120506",666.878260165834
"69","2120507",1109.15356689105
"70","2120508",864.031700158777
"71","2120509",515.747228463652
"72","2120510",2137.86949116432
"73","2120511",1635.16768006244
"74","2120512",952.224791468458
"75","2120513",1596.65207363643
"76","2120514",1194.72632455496
"77","2120515",2161.49365862638
"78","2120516",816.432722622247
"79","2120601",1453.13085083327
"80","2120602",1742.95437642794
"81","2120603",1436.3113972067
"82","2120604",1216.16916343603
"83","2120605",251.346678420943
"84","2120606",1043.17876185454
"85","2120607",110.120492356425
"86","2120608",1451.48993101043
"87","2120609",1131.23496855393
"88","2120610",1124.39955048947
"89","2120611",617.753818352752
"90","2120612",2350.88749890586
"91","2120613",904.887714292684
"92","2120614",1313.27208043578
"93","2120615",842.306517384554
"94","2120616",475.298366627776
"95","2120617",233.997059239921
"96","2120618",132.783282481599
"97","2120619",1326.8209667224
"98","2120620",1564.05891370527
"99","2120621",916.292757859435
"100","2120622",1284.93146972848
"101","2120623",733.692491927258
"102","2120624",411.203827086223
"103","2120625",519.901082634079
"104","2120626",1546.4012379786
"105","2120627",2645.49023508681
"106","2120628",759.065421845693
"107","2120629",1108.01519506899
"108","2120630",1407.29029114571
"109","2120701",1062.34088586127
"110","2120702",1146.78005948392
"111","2120703",894.657242102758
"112","2120704",1271.93326724529
"113","2120705",493.88829674454
"114","2120706",1071.02366779234
"115","2120707",341.28562799344
"116","2120708",160.020906614731
"117","2120710",883.887068125703
"118","2120711",1.91097653032498
"119","2120712",1218.47031927721
"120","2120713",253.204550557975
"121","2120714",1682.43631308635
"122","2120715",988.857759256237
"123","2120716",254.958688443361
"124","2120717",1037.57998997244
"125","2120718",1416.1432138707
"126","2120719",811.332788643926
"127","2120720",1213.72601323507
"128","2120721",351.063479186755
"129","2120722",297.220946356188
"130","2120723",184.349994273157
"131","2120724",426.906698727181
"132","2120725",568.765881895653
"133","2120726",1378.15462952578
"134","2120727",1034.42350865163
"135","2120728",2021.426508904
"136","2120729",1786.75283762667
"137","2120730",934.886397590052
"138","2120731",558.654645938571
"139","2120732",379.884576012532
"140","2120733",1764.37400832586
"141","2120734",1281.44875413111
"142","2120735",929.975172333175
"143","2120736",1256.23815049976
"144","2120737",643.581074728158
"145","2120738",456.042311221635
"146","2120801",2849.35832567758
"147","2120802",2142.40853605878
"148","2120803",2549.35077537502
"149","2120804",1698.09712334539
"150","2120805",1047.93225030601
"151","2120806",1071.97187073611
"152","2120807",992.881849089499
"153","2120808",584.158106515574
"154","2120809",922.770406940624
"155","2120810",523.143187744104
"156","2120811",1436.20204033036
"157","2120812",1004.93063897499
"158","2120813",2056.69617159083
"159","2120814",686.036980158807
"160","2120815",845.150981054634
"161","2120901",2200.83069069763
"162","2120902",2129.09860978389
"163","2120903",3256.78118196841
"164","2120904",1711.32453042596
"165","2120905",1889.7411305012
"166","2120906",2512.95209563457
"167","2120907",1216.2048586313
"168","2120908",1698.3866635376
"169","2120909",1940.48526012271
"170","2120910",1639.56860769609
"171","2120911",1888.86609955009
"172","2120912",1346.59980996353
"173","2120913",1874.90253306253
"174","2120914",1204.32643398155
"175","2120915",1820.43273097464
"176","2120916",984.812782037296
"177","2120917",1934.77516458153
"178","2120918",994.012247914181
"179","2121001",2399.74096883262
"180","2121002",2254.16198287422
"181","2121003",1024.89462613821
"182","2121004",1082.64159314435
"183","2121005",759.254179100688
"184","2121006",3387.96102097469
"185","2121007",2468.25481467182
"186","2121008",2586.13891586101
"187","2121009",2004.36926544404
"188","2121010",335.253847316698
"189","2121011",1724.83400526055
"190","2121012",3363.10023275273
"191","2121013",1139.81831198494
