"","area_id","SI"
"1",20601110601,4092.7423631506
"2",20601110605,8299.5499798053
"3",20601110606,6968.64307646801
"4",20601110608,3201.87159922916
"5",20601110609,8211.59420562937
"6",20601110610,12675.4984241657
"7",20601110611,6719.23464718661
"8",20601110612,8525.20610013299
"9",20601110613,6960.67581674566
"10",20601110614,7461.2191231168
"11",20601110615,1859.91535955236
"12",20601110616,5343.54162343922
"13",20601110617,4801.05005266888
"14",20601110618,7892.93469687737
"15",20601110619,8415.90309724752
"16",20601110620,14366.4248633987
"17",20601110621,9442.39971726536
"18",20601110622,8208.05961627148
"19",20601110623,9585.33249538763
"20",20601110624,9154.19247122997
"21",20601110625,12285.0966270584
"22",20601110626,9818.00038786611
"23",20601110627,6590.921233047
"24",20601110628,10086.7632366227
"25",20601110629,8523.47770882033
"26",20601110630,10551.6718139202
"27",20601110701,10000.1220570439
"28",20601110702,6732.27165386962
"29",20601110703,4842.86197237845
"30",20601110704,6725.02105344896
"31",20601110705,4423.74009728053
"32",20601110706,4073.53694063777
"33",20601110707,3583.28187991978
"34",20601110708,6220.64864124356
"35",20601110710,3694.13125103363
"36",20601110712,2521.33726414382
"37",20601110713,7253.64157550147
"38",20601110714,6740.12559987582
"39",20601110715,1482.36041826296
"40",20601110716,2421.08282919944
"41",20601110717,5994.12539764443
"42",20601110718,1612.40522290495
"43",20601110719,2303.433707156
"44",20601110720,6013.3083147043
"45",20601110721,6644.70948072898
"46",20601110722,1516.09622946306
"47",20601110723,2526.35288380938
"48",20601110724,8601.38734917364
"49",20601110725,3634.08985230805
"50",20601110726,10319.570146702
"51",20601110727,1776.97784839609
"52",20601110728,7576.54597207682
"53",20601110729,7655.63807089159
"54",20601110730,8450.82442627339
"55",20601110731,1555.80117558322
"56",20601110732,3254.49866238822
"57",20601110733,6680.13448319109
"58",20601110734,1290.85867365899
"59",20601110735,1322.85426984541
"60",20601110736,5631.81301377499
"61",20601110901,7463.51849007499
"62",20601110902,4287.92237382287
"63",20601110903,6193.63508998825
"64",20601110904,3688.37425935936
"65",20601110905,6375.40986119408
"66",20601110906,5790.18277089031
"67",20601110907,4916.33441916935
"68",20601110908,1743.41243027826
"69",20601110909,2122.21968109394
"70",20601110910,1426.06811390181
"71",20601110911,1735.2485862476
"72",20601110912,2565.59207683691
"73",20601110913,3180.11908322961
"74",20601110914,1867.02549300945
"75",20601110915,891.077822573382
"76",20601110916,1254.41045354653
"77",20601110917,1566.06853057015
"78",20601110918,1366.69517933049
"79",20601110919,2293.55218621485
"80",20601110920,3830.64529641286
"81",20601110921,5134.3322181941
"82",20601110922,7131.24643387332
"83",20601110923,1370.94340213799
"84",20601110924,1067.53437133301
"85",20601149501,4949.34142868119
"86",20601149502,8861.06334660377
"87",20601149503,11778.4348220817
"88",20601149504,3349.20065987353
"89",20601149505,10699.4403943957
"90",20601149506,3735.53485613506
"91",20601149507,8579.87360549813
"92",20601149508,11085.5545474601
"93",20601149509,11803.0249967108
"94",20601149510,5867.57292957106
"95",20601149511,2025.37048581496
"96",20601149512,2841.73833807532
"97",20601149513,5480.58553869013
"98",20601149514,8997.10603122176
"99",20601149515,7837.18492976863
"100",20601149516,2030.25283668445
"101",20601149517,8876.91176055858
"102",20601149518,7871.73197615964
"103",20601149519,2956.65317331697
"104",20601149520,2085.63718682157
"105",20601149521,10209.7947056214
"106",20601149522,8561.24988801058
"107",20601149523,8733.81369500384
"108",20601149524,8448.60041867266
"109",20601149525,7402.20101620383
"110",20601149526,7549.69492528355
"111",20601149527,9418.77547492432
"112",20601149528,5338.24599626769
"113",20601149529,12586.5479110146
"114",20601149530,2517.55472619952
"115",20601149531,2131.62675760635
"116",20601149532,6183.17181502838
"117",20601149601,8459.84194509768
"118",20601149602,4135.05662224836
"119",20601149603,8146.01245490664
"120",20601149604,7323.76700719536
"121",20601149605,5781.05039513179
"122",20601149606,7084.80470898428
"123",20601149607,6149.39749041959
"124",20601149608,5284.19398482861
"125",20601149609,2682.0184402245
"126",20601149610,9186.84353428015
"127",20601149611,9560.49897618173
"128",20601149612,8666.39539124146
"129",20601149613,5423.98057257608
"130",20601149614,3821.60939842707
"131",20601149615,7499.64249155977
"132",20601149616,3994.19448534373
"133",20601149617,9186.54493358082
"134",20601149618,5194.14545806597
"135",20601149619,5572.0709701439
"136",20601149620,8092.63959782985
"137",20601149621,7797.12782093547
"138",20601149622,6898.45233324228
"139",20601149623,5264.02061015497
"140",20601149624,9491.55492762847
"141",20601149625,9480.5432479131
"142",20601149626,5604.26735930161
"143",20601149627,8058.02724250987
"144",20601149628,5755.89929239007
"145",20601149701,1667.29061875057
"146",20601149702,8290.07709101437
"147",20601149703,5441.55657735005
"148",20601149704,8145.37779285109
"149",20601149705,7733.34600944565
"150",20601149706,10584.5254005657
"151",20601149707,3868.47391956635
"152",20601149708,9635.30096908566
"153",20601149709,13137.9867665404
"154",20601149710,10274.3078879876
"155",20601149711,3506.88084587101
"156",20601149712,9882.89873838445
"157",20601149713,5325.74300116544
"158",20601149714,3814.7841997375
"159",20601149715,5581.21157498619
"160",20601149716,2122.10030946575
"161",20601149717,11467.7792484339
"162",20601149718,4968.58327966781
"163",20601149719,3501.9542358873
"164",20601149720,4113.22580419583
"165",20601149721,5700.39532992328
"166",20601149722,3202.66299205882
"167",20601149723,9385.4609321711
"168",20601149724,4034.2720185995
"169",20601149725,6433.62402181161
"170",20601149726,6700.02490221175
"171",20601149801,6240.7199781017
"172",20601149802,3720.12869789366
"173",20601149803,2982.06730044127
"174",20601149804,195.071959436206
